"Merchant_Product_Number","EAN_Code","Product_Name","Manufacturer","brand","Beer style","Price","Price_old","Currency","DeepLink_URL","Image_Small_URL","Image_Large_URL","Merchant_Product_Category","Product_Description_Long","Shipping","availability"
"Tyris-IPABottle.33_15160","8436571780034","Tyris IPA","null","Tyris","IPA","2.79","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/tyris-ipa-bottle-.33","https://www.beerwulf.com/globalassets/tyris-ipabottle.33_15160_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/tyris-ipabottle.33_15160_0.png?w=400&h=400","414","Fijne domkergouden IPA met zowel aroma’s vanuit de mout als van de hop. Tonen van citrusfruit en een pittige harsachtige bittere finish.","26,85","true"
"Edelweiss-Blanche---Draught-KegDraughtKeg5_15214","3119780273522","Edelweiss Blanche - Tapvat","Edelweiss","Edelweiss","Witbier","18.89","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/edelweiss-blanche-5l-tapvat","https://www.beerwulf.com/globalassets/edelweiss-blanche---draught-kegdraughtkeg5_15214_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/edelweiss-blanche---draught-kegdraughtkeg5_15214_1.png?w=400&h=400","414","Edelweiss Blanche, gebrouwen met bergkruiden, heeft een evenwichtige smaak met een aangename zuurtegraad en een lichte bitterheid. Zijn zoete en fruitige smaken maken het een heerlijk verfrissend bier.","26,85","true"
"Perle-IPABottle.33_15237","3760188960141","Perle IPA","null","Perle","IPA","3.39","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/perle-ipa-bottle-.33","https://www.beerwulf.com/globalassets/perle-ipabottle.33_15237_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/perle-ipabottle.33_15237_0.png?w=400&h=400","414","Dominante fruitige aroma’s met een granenbasis en harsachtige bitterheid, tropisch fruit en citrus. Verfrissend, bitter en droog.","26,85","true"
"Ninkasi-Session-IPABottle.33_15272","3760029981113","Ninkasi Session IPA","Ninkasi Fabriques","Ninkasi","IPA","2.89","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/ninkasi-session-ipa-bottle-.33","https://www.beerwulf.com/globalassets/ninkasi-session-ipabottle.33_15272_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/ninkasi-session-ipabottle.33_15272_0.png?w=400&h=400","414","De Ninkasi Session IPA is een goudkleurig bier, gebrouwen met Amerikaanse hop. De Simcoe-hop zorgt voor een fruitige neus van exotisch fruit met tonen passiefruit, die in de mond blijven hangen. Glacier-hop zorgt voor balans tussen aroma’s en bitterheid.","26,85","true"
"Troost-New-EnglandCan.33_15095","8718868912886","Troost New England","Brouwerij Troost","Troost","IPA","3.09","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/troost-new-england-can-.33","https://www.beerwulf.com/globalassets/troost-new-englandcan.33_15095_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/troost-new-englandcan.33_15095_1.png?w=400&h=400","414","Zoete geuren als lychee, perzik, sinaasappel en rijpe meloen knallen uit het glas. In tegenstelling tot andere IPA’s is deze niet bitter, maar vol en lichtzoet.","26,85","true"
"De-Brabandere-Kwaremont-0,3%Bottle.33_15016","5411831003545","De Brabandere Kwaremont 0,3%","Brouwerij De Brabandere","Kwaremont","Blond Bier","2.29","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/de-brabandere-kwaremont-03-bottle-.33","https://www.beerwulf.com/globalassets/de-brabandere-kwaremont-03bottle.33_15016_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/de-brabandere-kwaremont-03bottle.33_15016_0.png?w=400&h=400","414","Kwaremont 0.3 is het alcoholarme zusje van Kwaremont. Een pittig gekruid en karaktervol bier met een dorstlessende afdronk.","26,85","true"
"Kees-Pale-Ale-Citra_2","8718868545756","Kees Pale Ale Citra","Brouwerij Kees","Kees","Pale Ale","3.19","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/kees-pale-ale-citra-ff40f6b2","https://www.beerwulf.com/globalassets/kees-pale-ale-citra_2_1.png?w=100&h=100","https://www.beerwulf.com/globalassets/kees-pale-ale-citra_2_1.png?w=400&h=400","414","Oranje kleurig, nevelig. Bier heeft een licht gekleurde schuimkraag. De citrusaroma’s stuiven je glas uit, met name grapefruit. Daarnaast heeft de Citra Pale Ale ook wat tropisch fruit. De afdronk is lang en fruitig bitter van karakter.","26,85","true"
"Les-3-Croquants-Blonde-d'AquitaineBottle.33_15467","3770008737051","Les 3 Croquants Blonde d'Aquitaine","Brasserie des 3 Croquants","Les 3 croquants","Blond Bier","2.69","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/les-3-croquants-blonde-daquitaine-bottle-.33","https://www.beerwulf.com/globalassets/les-3-croquants-blonde-daquitainebottle.33_15467_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/les-3-croquants-blonde-daquitainebottle.33_15467_0.png?w=400&h=400","414","Een fijn Blond bier met lichte carbonatie. Volop graan en honing in de geur, maar ook in de smaak. Zacht en rond door de toevoeging van mais.","26,85","true"
"Affligem-Fris-Blond-SUB-KegTorp2_15422","8006890687644","Affligem Fris Blond 4.6 - SUB Vat","Affligem Brouwerij","Affligem","Blond Bier","7.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/affligem-fris-blond-2l-tapvat","https://www.beerwulf.com/globalassets/affligem-fris-blond-sub-kegtorp2_15422_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/affligem-fris-blond-sub-kegtorp2_15422_0.png?w=400&h=400","414","Helder Blond bier met 4,6% alcohol. Extra verfrissend met een volle smaak en een zachte fruitigheid.","26,85","true"
"Cap-dOna-Brune-Bio-au-Seigle_Beer_15583","3760032530131","Cap d'Ona Brune Bio au Seigle","Brasserie Cap D'Ona","Cap dona","Brown Ale","3.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/cap-dona-brune-bio-au-seigle-bottle-.33","https://www.beerwulf.com/globalassets/cap-dona-brune-bio-au-seigle_beer_15583_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/cap-dona-brune-bio-au-seigle_beer_15583_0.png?w=400&h=400","414","De smaakpapillen worden getrakteerd op de smaak van koffie en geroosterde mout, gecombineerd met de zoetheid van verfijnde Cerdanya-rogge. Goed gebalanceerde bitterheid met een vleugje zoetheid met geroosterde tonen.","26,85","true"
"Stone-Go-To-IPA---SUB-Keg_Beer_15596","7106618767557","Stone Go To IPA - SUB Vat","Stone Brewing Berlin","Stone","IPA","17.49","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/stone-go-to-ipa-2l-tapvat","https://www.beerwulf.com/globalassets/stone-go-to-ipa---sub-keg_beer_15596_02.png?w=100&h=100","https://www.beerwulf.com/globalassets/stone-go-to-ipa---sub-keg_beer_15596_02.png?w=400&h=400","414","Aan het eind van het brouwproces wordt er een wagonlading hop toegevoegd. Het resultaat is een woud aan fruitige aroma’s en een stevige bitterheid. Een hop-explosie met maar 4,7% alcohol.","26,85","true"
"Vagabund-My-Saddle-My-Pony--Me---SUB-Keg_Beer_15847","7106618770489","Vagabund My Saddle, My Pony & Me - SUB Vat","Vagabund Brauerei","Vagabund","Pale Ale","15.99","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/vagabund-my-saddle-my-pony-me-2l-tapvat","https://www.beerwulf.com/globalassets/vagabund-my-saddle-my-pony--me---sub-keg_beer_15847_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/vagabund-my-saddle-my-pony--me---sub-keg_beer_15847_0.png?w=400&h=400","414","Fijne Pale Ale met alles er op en er aan. Een mooie moutigheid en daaroverheen een laag van frisse, fruitige hoparoma’s van vooral citrusfruit. De fruitigheid en de ronde bittere afdronk bepalen het karakter.","26,85","true"
"Dos-Equis-Lager-Especial_Beer_15851","0072311130127","Dos Equis Lager Especial","Cervecería Cuauhtémoc Moctezuma","Dos equis","Lager Bier","1.27","0.00","EUR","https://www.beerwulf.com/nl-be/p/bieren/dos-equis-lager-especial-bottle-.36","https://www.beerwulf.com/globalassets/dos-equis-lager-especial_beer_15851_0.png?w=100&h=100","https://www.beerwulf.com/globalassets/dos-equis-lager-especial_beer_15851_0.png?w=400&h=400","414","Makkelijk doordrinkbare, iets zoetige lager. Typisch voorbeeld van bier gebrouwen in de Noord-Amerikaanse en Mexicaanse traditie.","26,85","true"
