Assets;Custom Content Map Id;Unique Label;Geo Targeting;Unique_ID;REFERENCE;AUDIENCE;VERSION;IsDefault;AUDIENCEID;IMAGE1;IMAGE2;IMAGE3;IMAGE4;background_colour;IMAGE5;TRIGGER;START-DATE;END-DATE;ROTATION;COLOR;COPY;copy2;copy1_2;copy 3;PRICE;CTA;URL
1;832755;Version1;;1;Version1;Audience1;FF_1;TRUE;;https://content-center.mie-cdn.com/media-files/91/HCft_product-pink.png;https://content-center.mie-cdn.com/media-files/91/8flC_shape1.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;#6EACF3;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;TimeOFday;01/22/2024;01/31/2024;Equal;#6EACF3;for ;VitaminCare+ Deodorant Stick Raspberry & Rose;underarm skin care;Treat yourself to 72-hour odor protection and care ;ultimate;Shop Now;https://www.dove.com/us/en/p/vitamin-care-raspberry-rose.html/00079400509048
2;832756;Version2;;2;Version2;Audience2;FF_2;TRUE;;"	https://content-center.mie-cdn.com/media-files/91/6DyY_product-brown.png";https://content-center.mie-cdn.com/media-files/91/T3E9_shape2.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;#B79A34;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;Dayofweek;01/22/2024;01/31/2024;Equal;#B79A34;for ;VitaminCare+ Deodorant Stick Coconut & Shea;skin care;Treat yourself to 72-hour odor protection and care ;ultimate;Shop Now;https://www.dove.com/us/en/p/vitamin-care-coconut-shea.html/00079400509062
3;832757;Version3;;3;Version3;Audience3;FF_3;TRUE;;https://content-center.mie-cdn.com/media-files/91/wn3r_product-blue.png;https://content-center.mie-cdn.com/media-files/91/EbFa_shape3.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;#002663;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;TimeOFday;01/22/2024;01/31/2024;Equal;#002663;for ;VitaminCare+ Deodorant Stick Coconut Water & Aloe;underarm skin care;Treat yourself to 72-hour odor protection and care ;ultimate;Shop Now;https://www.dove.com/us/en/p/vitamin-care-coconut-shea.html/00079400509062
4;832758;Version 4;;4;Version 4;Audience4;FF_4;TRUE;;"	https://content-center.mie-cdn.com/media-files/91/vf26_product-green.png";https://content-center.mie-cdn.com/media-files/91/EbFa_shape3.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;#E48543;https://content-center.mie-cdn.com/media-files/91/N0Zw_logo-bar.png;Dayofweek;01/22/2024;01/31/2024;Equal;#E48543;for ;VitaminCare+ Cucumber & Melon Deodorant Stick.; skin care;Treat yourself to 72-hour odor protection and care ;ultimate;See more;https://www.dove.com/us/en/p/vitamin-care-cucumber-melon.html/00079400509079
